FN	First name	Last Name	Email	Age	Group	Grade1	Grade2	Grade3	Grade4	Phones
025813	Sara	Mills	smills0@marketwatch.com	30	1	5	6	3	4	+35934452639
604214	Daniel	Carter	dcarter1@buzzfeed.com	35	1	4	6	3	2	+35918564933
071311	Aaron	Gibson	agibson2@house.gov	30	5	3	5	3	6	+35904763182
420612	William	Alexander	walexander3@hexun.com	38	3	5	5	3	2	+35913949121
062414	Mildred	Hansen	mhansen4@gmail.com	22	4	2	5	5	6	+35979237614
740915	Antonio	Gonzalez	agonzalez5@zdnet.com	26	5	4	5	5	4	+35974393558
899911	Cheryl	Gray	cgray6@yahoo.com	26	1	5	2	6	2	+35908048505
481817	Craig	King	cking7@cyberchimps.com	25	3	3	4	4	6	+35931088883
788014	Craig	Ellis	cellis8@homestead.com	21	3	5	5	3	6	+36006829490
071913	Andrea	Harper	aharper9@facebook.com	23	5	2	4	4	5	+35905989773
725418	Steven	Cole	scolea@dagondesign.com	33	1	4	6	2	4	+35931477910
680214	Richard	Edwards	redwardsb@uiuc.edu	20	2	5	4	2	3	+35933431829
611516	Margaret	Peterson	mpetersonc@blogger.com	19	4	6	2	6	4	+35973075639
970916	Jonathan	Gibson	jgibsond@shareasale.com	21	1	6	6	6	6	+35984508550
570319	Jeffrey	Gibson	jgibsone@nsw.gov.au	27	1	3	2	2	3	+35964123314
580711	Gary	Foster	gfosterf@fema.gov	40	5	4	5	3	3	+36000287000
307913	Edward	Rose	eroseg@deliciousdays.com	40	1	4	3	2	4	+35982686716
062414	Mildred	Hansen	mhansen4@gmail.com	22	4	2	5	5	6	+35979237614
740915	Antonio	Gonzalez	agonzalez5@zdnet.com	26	5	4	5	5	4	+35974393558
899911	Cheryl	Gray	cgray6@yahoo.com	26	1	5	2	6	2	+35908048505
481817	Craig	King	cking7@cyberchimps.com	25	3	3	4	4	6	+35931088883
788014	Craig	Ellis	cellis8@homestead.com	21	3	5	5	3	6	+36006829490
071913	Andrea	Harper	aharper9@facebook.com	23	5	2	4	4	5	+35905989773
725418	Steven	Cole	scolea@dagondesign.com	33	1	4	6	2	4	+35931477910
680214	Richard	Edwards	redwardsb@uiuc.edu	20	2	5	4	2	3	+35933431829
062414	Mildred	Hansen	mhansen4@gmail.com	22	4	2	5	5	6	+35979237614
740915	Antonio	Gonzalez	agonzalez5@zdnet.com	26	5	4	5	5	4	+35974393558
899911	Cheryl	Gray	cgray6@yahoo.com	26	1	5	2	6	2	+35908048505
481817	Craig	King	cking7@cyberchimps.com	25	3	3	4	4	6	+35931088883
788014	Craig	Ellis	cellis8@homestead.com	21	3	5	5	3	6	+36006829490
071913	Andrea	Harper	aharper9@facebook.com	23	5	2	4	4	5	+35905989773
725418	Steven	Cole	scolea@dagondesign.com	33	1	4	6	2	4	+35931477910
680214	Richard	Edwards	redwardsb@uiuc.edu	20	2	5	4	2	3	+35933431829
